

########## payment_config  (sample; table has 148 rows) ##########
id,file_line_no,transaction_type_raw,transaction_type_norm,description_raw,description_norm,is_desc_wildcard,amount_field,record_ref_template,summary_pos,summary_neg,raw
1,2,ADJUSTMENT,ADJUSTMENT,COMMISSION_ADJUSTMENT,COMMISSION_ADJUSTMENT,f,total,ADJUSTMENT_OTHER+settlement_id+date,"","","{""record_ref"": ""ADJUSTMENT_OTHER+settlement_id+date"", ""description"": ""COMMISSION_ADJUSTMENT"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
2,3,ORDER_RETROCHARGE,ORDER_RETROCHARGE,any,ANY,t,low_value_goods,txn_ref+ORDER_RETROCHARGE+settlement_id+date,expenses_other,expenses_other,"{""record_ref"": ""txn_ref+ORDER_RETROCHARGE+settlement_id+date"", ""description"": ""any"", ""amount_field"": ""low_value_goods"", ""transaction_type"": ""ORDER_RETROCHARGE"", ""to_summary_field_when_negative_amount"": ""expenses_other"", ""to_summary_field_when_positive_amount"": ""expenses_other""}"
3,4,REFUND,REFUND,any,ANY,t,low_value_goods,txn_ref+sku+date,"","","{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""low_value_goods"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
5,6,ORDER,ORDER,any,ANY,t,low_value_goods,txn_ref+sku+date,sales_product_charges,sales_product_charges,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""low_value_goods"", ""transaction_type"": ""ORDER"", ""to_summary_field_when_negative_amount"": ""sales_product_charges"", ""to_summary_field_when_positive_amount"": ""sales_product_charges""}"
6,7,SERVICE_FEE,SERVICE_FEE,AWD_STORAGE_FEES,AWD_STORAGE_FEES,f,total,txn_ref+AWD_STORAGE_FEES+settlement_id+date,"","","{""record_ref"": ""txn_ref+AWD_STORAGE_FEES+settlement_id+date"", ""description"": ""AWD_STORAGE_FEES"", ""amount_field"": ""total"", ""transaction_type"": ""SERVICE_FEE"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
7,8,DEALS,DEALS,any,ANY,t,total,txn_ref+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees,"{""record_ref"": ""txn_ref+settlement_id+date"", ""description"": ""any"", ""amount_field"": ""total"", ""transaction_type"": ""DEALS"", ""to_summary_field_when_negative_amount"": ""expenses_amazon_fees"", ""to_summary_field_when_positive_amount"": ""expenses_amazon_fees""}"
8,9,REFUND,REFUND,any,ANY,t,product_sales,txn_ref+sku+date,refunded_sales,refunded_sales,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""product_sales"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""refunded_sales"", ""to_summary_field_when_positive_amount"": ""refunded_sales""}"
9,10,REFUND,REFUND,any,ANY,t,shipping_credits,txn_ref+sku+date,refunded_sales,refunded_sales,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""shipping_credits"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""refunded_sales"", ""to_summary_field_when_positive_amount"": ""refunded_sales""}"
10,11,REFUND,REFUND,any,ANY,t,fba_fees,txn_ref+sku+date,refunded_expenses,refunded_expenses,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""fba_fees"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""refunded_expenses"", ""to_summary_field_when_positive_amount"": ""refunded_expenses""}"
11,12,REFUND,REFUND,any,ANY,t,other_transaction_fees,txn_ref+sku+date,refunded_expenses,refunded_expenses,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""other_transaction_fees"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""refunded_expenses"", ""to_summary_field_when_positive_amount"": ""refunded_expenses""}"
12,13,REFUND,REFUND,any,ANY,t,marketplace_withheld_tax,txn_ref+sku+date,"","","{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""marketplace_withheld_tax"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
13,14,REFUND,REFUND,any,ANY,t,sales_tax_collected,txn_ref+sku+date,"","","{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""sales_tax_collected"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
14,15,REFUND,REFUND,any,ANY,t,gift_wrap_credits,txn_ref+sku+date,total_refund_expense_or_sales_amt,total_refund_expense_or_sales_amt,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""gift_wrap_credits"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""total_refund_expense_or_sales_amt"", ""to_summary_field_when_positive_amount"": ""total_refund_expense_or_sales_amt""}"
15,16,REFUND,REFUND,any,ANY,t,other,txn_ref+sku+date,total_refund_expense_or_sales_amt,total_refund_expense_or_sales_amt,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""other"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""total_refund_expense_or_sales_amt"", ""to_summary_field_when_positive_amount"": ""total_refund_expense_or_sales_amt""}"
16,17,REFUND,REFUND,any,ANY,t,promotional_rebates,txn_ref+sku+date,refunded_expenses,refunded_expenses,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""promotional_rebates"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""refunded_expenses"", ""to_summary_field_when_positive_amount"": ""refunded_expenses""}"
17,18,REFUND,REFUND,any,ANY,t,selling_fees,txn_ref+sku+date,refunded_expenses,refunded_expenses,"{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""selling_fees"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": ""refunded_expenses"", ""to_summary_field_when_positive_amount"": ""refunded_expenses""}"
18,19,REFUND,REFUND,any,ANY,t,total,txn_ref+sku+date,"","","{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""total"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
19,20,ADJUSTMENT,ADJUSTMENT,BUYER_RECHARGE,BUYER_RECHARGE,f,other,ADJUSTMENT_BUYER_RECHARGE+settlement_id+date,total_adjustment_other_buyer_recharge_amt,total_adjustment_other_buyer_recharge_amt,"{""record_ref"": ""ADJUSTMENT_BUYER_RECHARGE+settlement_id+date"", ""description"": ""BUYER_RECHARGE"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""total_adjustment_other_buyer_recharge_amt"", ""to_summary_field_when_positive_amount"": ""total_adjustment_other_buyer_recharge_amt""}"
20,21,ADJUSTMENT,ADJUSTMENT,BUYER_RECHARGE,BUYER_RECHARGE,f,total,ADJUSTMENT_BUYER_RECHARGE+settlement_id+date,"","","{""record_ref"": ""ADJUSTMENT_BUYER_RECHARGE+settlement_id+date"", ""description"": ""BUYER_RECHARGE"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
21,22,ADJUSTMENT,ADJUSTMENT,NON-SUBSCRIPTION_FEE_ADJUSTMENT,NON_SUBSCRIPTION_FEE_ADJUSTMENT,f,other,ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date,sales_other,sales_other,"{""record_ref"": ""ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date"", ""description"": ""NON-SUBSCRIPTION_FEE_ADJUSTMENT"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""sales_other"", ""to_summary_field_when_positive_amount"": ""sales_other""}"
22,23,ADJUSTMENT,ADJUSTMENT,NON-SUBSCRIPTION_FEE_ADJUSTMENT,NON_SUBSCRIPTION_FEE_ADJUSTMENT,f,total,ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date,"","","{""record_ref"": ""ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date"", ""description"": ""NON-SUBSCRIPTION_FEE_ADJUSTMENT"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
